,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL,bookDtlUrl
0,1,1,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2021,9791161571188,03810,,813.7,문학 > 한국문학 > 소설,13041,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg, https://data4library.kr/bookV?seq=5962217
1,2,2,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2022,9791161571379,03810,2,813.7,문학 > 한국문학 > 소설,9331,https://image.aladin.co.kr/product/29858/98/cover/k432838027_1.jpg, https://data4library.kr/bookV?seq=6529613
2,3,3,아버지의 해방일지 :정지아 장편소설,지은이: 정지아,창비,2022,9788936438838,03810,,813.7,문학 > 한국문학 > 소설,8409,https://image.aladin.co.kr/product/30048/51/cover/8936438832_1.jpg, https://data4library.kr/bookV?seq=6551957
3,4,4,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9791165341909,03810,,813.7,문학 > 한국문학 > 소설,7986,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg, https://data4library.kr/bookV?seq=5707051
4,5,5,하얼빈 :김훈 장편소설,지은이: 김훈,문학동네,2022,9788954699914,03810,,813.62,문학 > 한국문학 > 소설,7391,https://image.aladin.co.kr/product/29857/0/cover/895469991x_1.jpg, https://data4library.kr/bookV?seq=6529620
5,6,6,"어서오세요, 휴남동 서점입니다 :황보름 장편소설",지은이: 황보름,클레이하우스,2022,9791197377143,03810,,813.7,문학 > 한국문학 > 소설,6830,https://image.aladin.co.kr/product/28685/95/cover/k362836265_1.jpg, https://data4library.kr/bookV?seq=6389692
6,7,7,작별인사 :김영하 장편소설,지은이: 김영하,복복서가,2022,9791191114225,03810,,813.62,문학 > 한국문학 > 소설,6734,https://image.aladin.co.kr/product/29281/68/cover/k122837904_1.jpg, https://data4library.kr/bookV?seq=6446085
7,8,8,아몬드손원평 장편소설,손원평,창비,2017,9788936434267,03810,,813.7,문학 > 한국문학 > 소설,6584,http://image.aladin.co.kr/product/16839/4/cover/k492534773_1.jpg, https://data4library.kr/bookV?seq=3423096
8,9,9,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164134267,77810,3,810,문학 > 한국문학 > 한국문학,6552,https://image.aladin.co.kr/product/22327/46/cover/k782636924_1.jpg, https://data4library.kr/bookV?seq=5569013
9,10,10,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,9788970129815,04840,1,843.6,문학 > 영미문학 > 소설,6431,https://bookthumb-phinf.pstatic.net/cover/134/282/13428208.jpg?type=m1&udate=20180331, https://data4library.kr/bookV?seq=3723218
10,11,11,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164134847,77810,4,810,문학 > 한국문학 > 한국문학,6289,https://image.aladin.co.kr/product/23568/96/cover/k992638123_1.jpg, https://data4library.kr/bookV?seq=5635121
11,12,12,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164135592,77810,5,810,문학 > 한국문학 > 한국문학,6284,https://image.aladin.co.kr/product/24307/73/cover/k822630592_2.jpg, https://data4library.kr/bookV?seq=5686627
12,13,13,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164131686,77810,1,810,문학 > 한국문학 > 한국문학,6273,https://image.aladin.co.kr/product/19404/61/cover/k712635217_1.jpg, https://data4library.kr/bookV?seq=5429011
13,14,14,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164132454,77810,2,810,문학 > 한국문학 > 한국문학,6213,https://image.aladin.co.kr/product/20398/4/cover/k002635150_1.jpg, https://data4library.kr/bookV?seq=5463101
14,15,15,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,자청 지음,웅진씽크빅,2022,9788901260716,03320,,325.211,사회과학 > 경제학 > 경영관리,6161,https://image.aladin.co.kr/product/29521/63/cover/8901260719_1.jpg, https://data4library.kr/bookV?seq=6468069
15,16,16,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164136261,77810,6,810,문학 > 한국문학 > 한국문학,6141,https://image.aladin.co.kr/product/25301/95/cover/k062633309_1.jpg, https://data4library.kr/bookV?seq=5777315
16,17,17,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164137527,77810,7,810,문학 > 한국문학 > 한국문학,6139,https://image.aladin.co.kr/product/26556/36/cover/k602738939_1.jpg, https://data4library.kr/bookV?seq=5929100
17,18,18,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164138197,77810,8,810,문학 > 한국문학 > 한국문학,6086,https://image.aladin.co.kr/product/27456/81/cover/k752733475_1.jpg, https://data4library.kr/bookV?seq=6041427
18,19,19,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9791165343729,03810,2,813.7,문학 > 한국문학 > 소설,6042,https://image.aladin.co.kr/product/27587/47/cover/k962733015_1.jpg, https://data4library.kr/bookV?seq=6049391
19,20,20,밝은 밤 :최은영 장편소설,지은이: 최은영,문학동네,2021,9788954681179,03810,,813.7,문학 > 한국문학 > 소설,5994,https://image.aladin.co.kr/product/27541/91/cover/8954681174_1.jpg, https://data4library.kr/bookV?seq=6045915
20,21,21,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791168411685,77810,10,810,문학 > 한국문학 > 한국문학,5981,https://image.aladin.co.kr/product/29286/99/cover/k082837005_1.jpg, https://data4library.kr/bookV?seq=6447451
21,22,22,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,9788970129822,04840,2,843.6,문학 > 영미문학 > 소설,5925,https://bookthumb-phinf.pstatic.net/cover/134/282/13428213.jpg?type=m1&udate=20180331, https://data4library.kr/bookV?seq=3723461
22,23,23,순례 주택 :유은실 소설,지은이: 유은실,비룡소,2021,9788949123493,44800,,813.7,문학 > 한국문학 > 소설,5869,https://image.aladin.co.kr/product/26674/56/cover/8949123495_1.jpg, https://data4library.kr/bookV?seq=5941926
23,24,24,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9791164139897,77810,9,810,문학 > 한국문학 > 한국문학,5767,https://image.aladin.co.kr/product/28395/15/cover/k962835911_1.jpg, https://data4library.kr/bookV?seq=6350914
24,25,25,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,9791189327156,03400,,490.99,자연과학 > 동물학 > 동물학,5593,https://image.aladin.co.kr/product/28465/73/cover/k092835920_1.jpg, https://data4library.kr/bookV?seq=6360937
